congress,chamber,rollnumber,icpsr,cast_code,prob
81,Senate,1,52,1,97.0
81,Senate,1,165,6,99.8
81,Senate,1,390,1,100.0
81,Senate,1,437,6,100.0
81,Senate,1,659,7,98.6
81,Senate,1,1021,1,100.0
81,Senate,1,1024,1,100.0
81,Senate,1,1027,1,100.0
81,Senate,1,1090,6,
81,Senate,1,1338,1,99.9
81,Senate,1,1365,6,74.0
81,Senate,1,1395,1,99.8
81,Senate,1,1489,1,100.0
81,Senate,1,1510,7,99.7
81,Senate,1,1659,6,100.0
81,Senate,1,1678,5,100.0
81,Senate,1,1831,7,100.0
81,Senate,1,1986,6,100.0
81,Senate,1,2066,1,93.1
81,Senate,1,2333,7,75.9
81,Senate,1,2656,1,96.5
81,Senate,1,2691,6,95.2
81,Senate,1,2702,6,100.0
81,Senate,1,2751,7,100.0
81,Senate,1,2803,7,99.8
81,Senate,1,2822,6,100.0
81,Senate,1,2838,1,96.6
81,Senate,1,2901,6,100.0
81,Senate,1,3110,1,100.0
81,Senate,1,3206,1,100.0
81,Senate,1,3349,6,96.1
81,Senate,1,3388,6,100.0
81,Senate,1,3536,6,98.8
81,Senate,1,3603,6,99.1
81,Senate,1,3731,7,100.0
81,Senate,1,3783,6,99.9
81,Senate,1,3882,1,98.4
81,Senate,1,4227,6,100.0
81,Senate,1,4321,1,100.0
81,Senate,1,4382,1,100.0
81,Senate,1,4418,6,100.0
81,Senate,1,4483,6,99.6
81,Senate,1,4520,6,99.2
81,Senate,1,4728,6,99.9
81,Senate,1,4747,6,99.7
81,Senate,1,4834,1,100.0
81,Senate,1,4922,1,100.0
81,Senate,1,4949,6,98.6
81,Senate,1,4979,6,100.0
81,Senate,1,5009,6,100.0
81,Senate,1,5122,6,100.0
81,Senate,1,5158,1,100.0
81,Senate,1,5213,6,100.0
81,Senate,1,5240,6,100.0
81,Senate,1,5343,1,100.0
81,Senate,1,5452,7,4.2
81,Senate,1,5539,7,100.0
